tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO;CANCELADA;17/02/2019;09:22:00;IBURA;RUA RIO XINGU;;EM FRENTE AO POSTO BR;COLISÃO;ONIBUS E DOIS  AUTO;2;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;17/02/2019;10:59:00;SANTO AMARO;RUA DOS PALMARES;;AO LADO DO LABORATÓRIO MUNICIPAL JULIÃO;ABALROAMENTO TRANSVERSAL;COLISÃO  SEM VITIMAS;1;;;;;;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;17/02/2019;11:59:00;BOA VIAGEM;RUA ERNESTO DE PAULA SANTOS;451;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;;1;;;;;;1;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;17/02/2019;12:58:00;ILHA DO RETIRO;AV BEIRA RIO;302;AO LADO DO CAMPO DO SPORT. AO LADO DO CONDOMÍNIO VILLA BEIRA RIO.;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;2;
ABALROAMENTO TRANSVERSAL;FINALIZADA;17/02/2019;13:03:00;IPSEP;RUA VIRGINIA HERACLIO;446;;ABALROAMENTO TRANSVERSAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;17/02/2019;13:14:00;DERBY;RUA AMARO BEZERRA;458;EM FRENTE AO EMPORIO VILLA GRANNO;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;17/02/2019;14:48:00;PAISSANDU;RUA DR JOAO ASFORA;285;AO LADO DO EDF GRAHAM BELL;COLISÃO TRASEIRA;DOIS AUTOS   VT- 29 NO LOCAL  GM´S VALDENICE E CARLOS FERNANDES;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;17/02/2019;15:15:00;NOVA DESCOBERTA;RUA CORREGO DO JOAQUIM;;EM FRENTE AO TERMINAL DE ÔNIBUS;ABALROAMENTO LONGITUDINAL;ONIBUS E AUTO;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;17/02/2019;16:08:00;BOA VIAGEM;RUA RIBEIRO DE BRITO;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;17/02/2019;16:56:00;TORRE;RUA REAL DA TORRE;450;LADO OPOSTO AO MERCADO PÚBLICO DA MADALENA;COLISÃO TRASEIRA;ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;17/02/2019;19:08:00;IBURA;LAD DA COHAB;;CASARÃO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;17/02/2019;19:32:00;CASA AMARELA;EST DO ARRAIAL;2641;AO LADO DO HOSPITAL AGAMENON;COLISÃO;COLISÃO SEM VITIMA;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;17/02/2019;19:57:00;SANTO AMARO;RUA CAPITAO LIMA;138;PRÓX TV JORNAL;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;17/02/2019;20:14:00;IPUTINGA;EST DO BARBALHO;;E/F AO DETRAN  ( SINCOR - PE ) PRÓX A RECIFE PLACAS;COLISÃO FRONTAL;ENTRE AUTO E MOTO. C/V;1;;1;;;;;;;2;
COLISÃO;CANCELADA;17/02/2019;21:03:00;CURADO;AV PREFEITO ANTONIO PEREIRA;;PROX. A GARAGEM DA GUANABARA E O TIP;COLISÃO;COLISÃO SEM VITIMA;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;08:49:00;BONGI;AV ENGENHEIRO ABDIAS DE CARVALHO;;PRÓX AO SEMÁFORO Nº 057;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;18/02/2019;03:41:00;BOA VIAGEM;AV BOA VIAGEM;;EM FRENTE O HOTEL ATLÂNTICO;COLISÃO;COLISÃO ENTRE CAMINHÃO E ÔNIBUS, SEM VÍTIMAS.;;;;;;1;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;06:58:00;SANTANA;RUA AMBROZINA CARNEIRO;82;RUA DO COLEGIO COGNITIVO;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;07:23:00;BOA VISTA;RUA DOM BOSCO;1104;POSTO BR;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;07:41:00;SANTO AMARO;AV JOAO DE BARROS;847;EM FRENTE A AUTO CENTER JOÃO DE BARROS;COLISÃO TRASEIRA;SEM VITIMAS;4;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;08:20:00;GRAÇAS;RUA DAS CREOULAS;78;PRIMEIRA IGREJA PRESBITERIANA DO RECIFE;ABALROAMENTO LONGITUDINAL;ONIBUS E AUTO;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;08:25:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;125;APÓS O BANCO DO BRASIL;ABALROAMENTO LONGITUDINAL;AUTO E ONIBUS;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;09:03:00;AFOGADOS;AV SUL;;APOS A ESTAÇÃO LARGO DA PAZ, EM FRENTE A BORRACHARIA SUL;COLISÃO TRASEIRA;DOIS AUTOS E CAMINHÃO;2;;;;;;1;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;18/02/2019;10:34:00;ÁGUA FRIA;RUA DO MACHADO;;AO LADO DO  SEMÁFORO Nº 536;CHOQUE VEÍCULO PARADO;SEMVITIMAS;;;;;;;2;;;0;
COLISÃO;CANCELADA;18/02/2019;10:52:00;ILHA DO LEITE;RUA GENERAL JOAQUIM INACIO;400;EM FRENTE AO INSTITUTO PERNAMBUCANO DO SONO;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;10:58:00;SANTO AMARO;AV CRUZ CABUGA;;EM FRENTE A APAC;COLISÃO TRASEIRA;DOIS AUTOS;1;;;;;;;1;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;11:55:00;CORDEIRO;AV CAXANGA;1562;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;;;;;;1;1;;;0;
COLISÃO;PENDENTE;18/02/2019;12:02:00;AREIAS;AV DR JOSE RUFINO;1516;AO LADO DO ARMAZÉM CORAL E O BODE DO NÔ;COLISÃO;;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;13:02:00;CASA AMARELA;RUA DR TOME DIAS;5;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;;;;1;0;
CHOQUE OBJETO FIXO;FINALIZADA;18/02/2019;13:15:00;VASCO DA GAMA;RUA RESPLENDOR;2022;PRÓX AO CONFIANÇA SPORT CLUB;CHOQUE OBJETO FIXO;O VEICULO BATEU CONTRA O PORTÃO DA RECIDÊNCIA;;;;;;;;;1;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;18/02/2019;13:33:00;CAMPO GRANDE;RUA ODORICO MENDES;165;BRASIL FAROIS;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;3;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;13:35:00;CORDEIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;1668;EM FRENTE AO YOKI GALETOS;COLISÃO TRASEIRA;ENTRE AUTOS S/V;2;;;;;;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;18/02/2019;14:09:00;CURADO;RUA CORONEL FERNANDO MACHADO;445;;CHOQUE VEÍCULO PARADO;S/V;;;;;;;2;;2;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;14:13:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE A TEND TUDO;ABALROAMENTO LONGITUDINAL;COLISÃO COM VITIMA/ O SAMU REMOVEU A VITIMA;1;1;;;;;;;;1;
CHOQUE VEÍCULO PARADO;FINALIZADA;18/02/2019;14:50:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;3905;EM FRENTE A TEND TUDO;CHOQUE VEÍCULO PARADO;;;1;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;16:14:00;CASA AMARELA;AV NORTE;;;COLISÃO TRASEIRA;ÔNIBUS X AUTO S/V;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;16:27:00;TORRÕES;AV ENGENHEIRO ABDIAS DE CARVALHO;;EM FRENTE AO MARTELINHO DE OURO;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMAS;1;;;;;1;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;18/02/2019;17:19:00;DERBY;RUA HENRIQUE DIAS;609;FUNDAÇÃO JOAQUIM NAMBUCO;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;18:06:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;SOB O VIADUTO DA AV. NORTE;COLISÃO TRASEIRA;SEM VITIMAS;4;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;18/02/2019;18:28:00;AREIAS;AV RECIFE;;WALMART;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMAS;3;;;;;;;;;0;
COLISÃO;CANCELADA;18/02/2019;18:31:00;IPSEP;RUA JEAN EMILE FAVRE;539;ENF A FACULDADE DE BOA VIAGEM E O BERÇARIO INFANTIL UNI;COLISÃO;CORSA X FORD K;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;18:41:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE AO DER;ABALROAMENTO LONGITUDINAL;GOL / O0NIBUS / CAMINHAO;1;;;;;1;1;;;0;
COLISÃO;CANCELADA;18/02/2019;19:00:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;4204;ENF A AVANTIA SENTIDO OPOSTO DA UPA;COLISÃO;GOL X PRISMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;18/02/2019;19:08:00;AREIAS;AV DR JOSE RUFINO;;ENF AO SENAI;ABALROAMENTO TRANSVERSAL;ONIX X MOTO;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;19:42:00;IBURA;AV DOIS RIOS;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMAS;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;21:43:00;JAQUEIRA;AV CONS ROSA E SILVA;1460;ETC EXECUTIVE TRADE CENTER;ABALROAMENTO LONGITUDINAL;ONIBUS PEDROSA X ONIX;1;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;18/02/2019;22:35:00;CAXANGÁ;RUA RODRIGUES FERREIRA;45;ENF AO RESIDENCIAL JARDIM CAXANGA;ABALROAMENTO LONGITUDINAL;SANDERO X PRISMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;19/02/2019;07:03:00;CORDEIRO;RUA DR MIGUEL VIEIRA FERREIRA;210;ANTES DO COLEGIO GERAÇAO;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;2;
COLISÃO COM CICLISTA;FINALIZADA;19/02/2019;07:05:00;IPUTINGA;RUA MAURICIO DE NASSAU;193;PROX. AO SUPERMERCADO RENDE MAIS, APOS A LOMBADA ELETRONICA;COLISÃO COM CICLISTA;COLISÃO ENVOLVENDO AUTO E CICLISTA.;1;;;1;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;07:41:00;ENCRUZILHADA;AV JOAO DE BARROS;1800;;ABALROAMENTO LONGITUDINAL;AUTO E ONIBUS;1;;;;;1;;;;0;
COLISÃO;CANCELADA;19/02/2019;07:50:00;TORRÕES;AV ENGENHEIRO ABDIAS DE CARVALHO;;EM FRENTE A UPA;COLISÃO;CAMINHAO E AUTO;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;19/02/2019;07:52:00;BOA VISTA;RUA JOAO LIRA;143;PROX. AO TREZE DE MAIO, EM FRENTE A EDF. MARAJO;COLISÃO;VEICULO OFICIAL E AUTO;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;19/02/2019;08:21:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE A DA FONTE NÁUTICA;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
ATROPELAMENTO;FINALIZADA;19/02/2019;09:07:00;IMBIRIBEIRA;RUA JOAQUIM BANDEIRA;492;EM  FRENTE A   ANATEL;ATROPELAMENTO;VITIMA  SOCORRIDA  PELO    SAMU;1;;;;1;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;10:21:00;POÇO DA PANELA;RUA ENGENHEIRO BANDEIRA DE MELO;175;;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;19/02/2019;11:10:00;ILHA DO LEITE;RUA MINAS GERAIS;;PRÓXIMO A PRAÇA;ABALROAMENTO TRANSVERSAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;12:07:00;IMBIRIBEIRA;RUA MURITIBA;;AO LADO DAS CASAS BAHIA;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;12:14:00;IMBIRIBEIRA;RUA ITACARE;302;;ABALROAMENTO LONGITUDINAL;CAMINHÃO X MOTO S/V;;1;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;19/02/2019;12:24:00;BOA VIAGEM;RUA RIBEIRO DE BRITO;;;COLISÃO TRASEIRA;S/V;1;;;;;;;1;;0;
COLISÃO COM CICLISTA;FINALIZADA;19/02/2019;13:38:00;IMBIRIBEIRA;RUA JOAQUIM BANDEIRA;;SOB A ESTAÇÃO ANTÔNIO FALCÃO.;COLISÃO COM CICLISTA;COLISÃO ENVOLVENDO AUTO E CICLISTA.;1;;;1;;;;;;1;
COLISÃO;FINALIZADA;19/02/2019;13:43:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;EM FRENTE AO HOSPITAL NOSSA SENHORA DAS GRAÇAS;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;19/02/2019;13:52:00;PRADO;RUA GOMES TABORDA;566;OFICINA TOP BIKES;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;19/02/2019;14:13:00;JORDÃO;AV GOVERNADOR ROBERTO SILVEIRA;;;ABALROAMENTO TRANSVERSAL;CARRETA X AUTO S/V;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;19/02/2019;14:47:00;ENCRUZILHADA;RUA DR EDUARDO WANDERLEY;72;;COLISÃO TRASEIRA;ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;19/02/2019;15:09:00;TAMARINEIRA;EST VELHA DE AGUA FRIA;908;NA ESQUINA DO DNOCS, EM FRENTE AO RESIDENCIAL VITA.;COLISÃO TRASEIRA;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;19/02/2019;15:11:00;AFOGADOS;AV SUL;2282;EM FRENTE A ESTAÇÃO LARGO DA PAZ;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;19/02/2019;15:43:00;CORDEIRO;RUA TOMAZ GONZAGA;129;ACADEMIA CORPORIS/ IGREJA DOS MORMONS;COLISÃO;DUAS MOTOCICLETAS;;2;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;19/02/2019;15:53:00;BOA VISTA;RUA DA AURORA;;POSTE B 019786;COLISÃO TRASEIRA;AUTO X MOTO S/V;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;16:16:00;PINA;PTE GOVERNADOR PAULO GUERRA;;SHOPP RIO MAR;ABALROAMENTO LONGITUDINAL;ENTRE AUTO E CAMINHAO S/V;1;;;;;;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;19/02/2019;17:06:00;TORRE;RUA JOSE BONIFACIO;;;ABALROAMENTO TRANSVERSAL;AUTO E MOTO S/V;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;17:28:00;TAMARINEIRA;AV PROFESSOR JOSE DOS ANJOS;;EM FRENTE AO POSTO BR;ABALROAMENTO LONGITUDINAL;COLISAO ENVOLVENDO DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;18:34:00;ESTÂNCIA;RUA NOSSA SENHORA DE FATIMA;;;ABALROAMENTO LONGITUDINAL;ONIBUS METROPOLITANA X CAMINHAO;;;;;;1;1;;;0;
COLISÃO COM CICLISTA;FINALIZADA;19/02/2019;18:37:00;SANTO AMARO;AV CRUZ CABUGA;;EM FRENTE AO HOSPITAL DA MARINHA, CEMITERIO DOS INGLESES E DER.;COLISÃO COM CICLISTA;COLISÃO ENVOLVENDO ÔNIBUS E CICLISTA.;;;;1;;1;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;19:15:00;BOA VIAGEM;AV BOA VIAGEM;;ENF A PADARIA DE BOA VIAGEM;ABALROAMENTO LONGITUDINAL;SIENA X GOL;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;19/02/2019;21:18:00;BOA VIAGEM;RUA RIBEIRO DE BRITO;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;19/02/2019;21:41:00;VÁRZEA;AV AFONSO OLINDENSE;1716;EMPRESA Nº 1716;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMA;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;19/02/2019;23:53:00;BOA VIAGEM;AV BOA VIAGEM;;SEMÁFORO 149;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;00:34:00;IMBIRIBEIRA;VIADUTO TANCREDO NEVES;;;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;07:43:00;IPSEP;AV RECIFE;3592;;COLISÃO TRASEIRA;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;07:48:00;VÁRZEA;RUA SAO FRANCISCO DE PAULA;23;EM FRENTE AO POSTO SHELL;COLISÃO TRASEIRA;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;08:08:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;1800;PISTA PRINCIPAL OPOSTO AO Nº 1800;ABALROAMENTO LONGITUDINAL;AUTO E MOTO;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;08:26:00;IPSEP;AV RECIFE;3096;LADO OPOSTO AO SUPERMERCADO ECONOMICO;COLISÃO TRASEIRA;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;08:36:00;CORDEIRO;AV GENERAL SAN MARTIN;;SOB O SEMÁFORO 058;ABALROAMENTO LONGITUDINAL;COLISÃO  SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;08:59:00;MADALENA;RUA REAL DA TORRE;;;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;20/02/2019;09:02:00;ARRUDA;RUA DAS MOCAS;217;EM FRENTE AO  Nº 217;ABALROAMENTO TRANSVERSAL;COLISÃO   SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;09:10:00;PINA;AV HERCULANO BANDEIRA;252;EM FRENTE A BARRACA DO VEIO;COLISÃO TRASEIRA;SEM VITIMAS AGENTES SILVA FILHO /FONTENELE PONTO FIXO VÃO FAZER B.O;3;;;;;;;;;0;
COLISÃO;CANCELADA;20/02/2019;09:12:00;PAISSANDU;RUA PACIFICO DOS SANTOS;85;EM  FRENTE  AO  CENTRO    ADMINISTRATIVO      DO  HOSPITAL   HAPVIDA;COLISÃO;COLISÃO  SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;09:49:00;PAISSANDU;RUA PAISSANDU;;EM FRENTE AO  HOSPITAL SÃO MARCOS;COLISÃO TRASEIRA;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;09:36:00;SÃO JOSÉ;RUA DO PEIXOTO;161;PROX. A AV DANTAS BARRETO;COLISÃO TRASEIRA;MOTO E AUTO;1;1;;;;;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;20/02/2019;10:46:00;AREIAS;RUA DONA ANA AURORA;500;;CHOQUE VEÍCULO PARADO;COLISÃO SEM VÍTIMA. COLISÃO ENTRE TREM DE CARGA E AUTO PASSEIO;1;;;;;;;;1;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;10:50:00;DERBY;RUA GUILHERME PINTO;1360;EM FRENTE AO PRÉDIO SOLAR DA GRAÇAS;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;11:37:00;IMBIRIBEIRA;RUA PERIMETRAL;;CHURRASCARIA SAL E BRASA;ABALROAMENTO LONGITUDINAL;SEM VÍTIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;11:57:00;PARNAMIRIM;AV PARNAMIRIM;417;EM FRENTE AO Nº417;ABALROAMENTO LONGITUDINAL;ENTRE AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;12:11:00;CABANGA;VIADUTO CAPITAO TEMUDO;;APÓS A DESCIDA DA ALÇA DE ACESSO A RUA IMPERIAL;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;12:17:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;3150;EM FRENTE AO EDF CEZANNE;COLISÃO TRASEIRA;;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;13:06:00;BOA VIAGEM;AV FERNANDO SIMOES BARBOSA;;;ABALROAMENTO LONGITUDINAL;ACAMINHÃO X AUTO S/V;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;13:43:00;MACAXEIRA;AV NORTE;;ROTATÓRIA DA MACAXEIRA;COLISÃO TRASEIRA;CAMINHÃO X AUTO S/V;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;13:51:00;AFOGADOS;AV SUL;;POSTE B073628;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO;CANCELADA;20/02/2019;14:16:00;DERBY;RUA JENER DE SOUZA;;EM FRENTE A PRAÇA DO DERBY;COLISÃO;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;20/02/2019;14:32:00;TORRE;AV PROFESSOR ESTEVAO FRANCISCO DA COSTA;;NO SEMÁFORO 280;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;20/02/2019;14:36:00;BOA VIAGEM;AV DES JOSE NEVES;90;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;3;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;20/02/2019;14:41:00;TORRE;RUA MARQUES DE MARICA;169;EDF PRAÇA DAS CAMÉLIAS;ABALROAMENTO TRANSVERSAL;AUTO X MOTO S/V;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;15:00:00;FUNDÃO;AV BEBERIBE;2840;PRIMEIRA IGREJA BATISTA DO FUNDÃO;ABALROAMENTO LONGITUDINAL;AUTO E ONIBUS DA CAXANGA;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;15:18:00;SAN MARTIN;AV GENERAL SAN MARTIN;809;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;
COLISÃO;CANCELADA;20/02/2019;15:29:00;IMBIRIBEIRA;AV PINHEIROS;837;;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;15:34:00;GRAÇAS;AV RUI BARBOSA;;;ABALROAMENTO LONGITUDINAL;ENTRE AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;15:35:00;BOA VIAGEM;RUA RIO AZUL;;;ABALROAMENTO LONGITUDINAL;ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;20/02/2019;15:45:00;BOA VISTA;RUA BARAO DE SAO BORJA;;;ABALROAMENTO TRANSVERSAL;ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;16:35:00;IMBIRIBEIRA;RUA DR TAVARES CORREIA;93;EM FRENTE AO POSTO BR E EDF. CAPIBARIBE;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;16:51:00;BOA VISTA;RUA DO PRINCIPE;682;;COLISÃO TRASEIRA;AUTO E VAN S/V;1;;;;;;;;1;0;
